M_SIGLAUNIVOCA;M_SIGLAAZ;DESCRIZIONE;NOMEBREVE;COORDX;COORDY;TIPO;COMUNE;LOCALITA;STAMPAPERORARIO;IDDISEGNO;FR;SOPPRESSA;STALLO
RE354014;354014;VILLA MINOZZO - INC. VIA FONTANA ERIO;NULL;616931,314;913270,63;1;NULL;NULL;S;327016931;S;N;NULL
RE354015;354015;CASE ZOBBI;NULL;616643,411;912864,553;1;NULL;NULL;S;286416643;S;N;NULL
RE354016;354016;CALIZZO;NULL;615848,125;911033,062;1;NULL;NULL;S;103315848;S;N;NULL
RE354017;354017;CALIZZO - INC. VIA CA' PEDRO;NULL;615821,125;910616,125;1;NULL;NULL;S;61615821;S;N;NULL
RE354018;354018;GOVERNARA - INC. CASE STANTINI;NULL;616300,812;907524,938;5;NULL;NULL;S;752416300;S;N;NULL
RE354019;354019;GOVERNARA;NULL;616741,312;907600,25;1;NULL;NULL;S;760016741;S;N;NULL
RE354020;354020;GOVERNARA - INC. DEUSI;NULL;617026,6;907455,261;1;NULL;NULL;S;745517026;S;N;NULL
RE354021;354021;CASTIGLIONE;NULL;616626,75;907137,062;1;NULL;NULL;S;713716626;S;N;NULL
RE354022;354022;ASTA;NULL;616376,562;906546,312;1;NULL;NULL;S;654616376;S;N;NULL
RE354023;354023;CASE BALOCCHI - INC. FEBBIO;NULL;616214,51;906108,523;5;NULL;NULL;S;610816214;S;N;NULL
RE354024;354024;CASE BALOCCHI;NULL;616323,75;905975,5;1;NULL;NULL;S;597516323;S;N;NULL
RE354025;354025;PIAN DEL MONTE;NULL;616975,938;905596,375;1;NULL;NULL;S;559616975;S;N;NULL
RE354026;354026;PIETRACCHETTA;NULL;617186,438;904155,375;1;NULL;NULL;S;415517186;S;N;NULL
RE354027;354027;CERVAROLO;NULL;618064,54;903697,456;5;NULL;NULL;S;369718064;S;N;NULL
RE354028;354028;CERVAROLO - INC. CIVAGO;NULL;618667,615;903426,073;5;NULL;NULL;S;342618667;S;N;NULL
RE354029;354029;GAZZANO - MONTE GAZZANO;NULL;619722,062;903588,438;1;NULL;NULL;S;358819722;S;N;NULL
RE354031;354031;GAZZANO;NULL;620052,25;903604,875;1;NULL;NULL;S;360420052;S;N;NULL
RE354036;354036;CIVAGO - COSTARSO;NULL;618046,506;901553,987;1;NULL;NULL;S;155318046;S;N;NULL
RE354037;354037;CIVAGO;NULL;617867,699;901306,8;1;NULL;NULL;S;130617867;S;N;NULL
RE354038;354038;CIVAGO - CASE FIORAVANTI;NULL;617526,614;901159,611;1;NULL;NULL;S;115917526;S;N;NULL
RE354039;354039;ROMITA;NULL;617946,438;900604,188;5;NULL;NULL;S;60417946;S;N;NULL
RE354040;354040;CIVAGO - RIMESSA BUS;NULL;617363,625;901046,062;5;NULL;NULL;S;104617363;S;N;NULL
RE354042;354042;CERVAROLO - INC. GAZZANO;NULL;618726,375;903465,25;5;NULL;NULL;S;346518726;S;N;NULL
RE354044;354044;GAZZANO - INC. VIA DEL BIONDO;NULL;619985,713;903789,808;1;NULL;NULL;S;378919985;S;N;NULL
RE354045;354045;GAZZANO - INC. VIA VALDEMINASI;NULL;619194,438;903598,188;1;NULL;NULL;S;359819194;S;N;NULL
RE354046;354046;PIETRACHETTA - VIA SOMMATERRA 2;NULL;616968,562;904291,375;1;NULL;NULL;S;429116968;S;N;NULL
RE354047;354047;PIAN DEL MONTE - VIA VAL D'ASTA 52;NULL;616877,5;904895;1;NULL;NULL;S;489516877;S;N;NULL
RE354048;354048;CASE ZOBBI - VIA P. GIOVANNI XXIII 40;NULL;616219,092;912516,373;1;NULL;NULL;S;251616219;S;N;NULL
RE354049;354049;VILLA MINOZZO - PISCINA;NULL;616843,405;913616,379;5;NULL;NULL;S;361616843;S;N;NULL
RE354501;354501;GNANA - LATTERIA;NULL;615437,96;921668,562;1;NULL;NULL;S;166815437;S;N;NULL
RE354503;354503;GNANA - CA' DEL CONTE;NULL;616082,767;920557,4;1;NULL;NULL;S;55716082;S;N;NULL
RE354504;354504;CA' DEL ROSSO;NULL;616190,631;920100,563;1;NULL;NULL;S;10016190;S;N;NULL
RE354505;354505;MULINELLO;NULL;616005,834;919601,691;1;NULL;NULL;S;960116005;S;N;NULL
RE354506;354506;GATTA - FRULLO;NULL;616534,052;918722,914;1;NULL;NULL;S;872216534;S;N;NULL
RE354507;354507;GATTA;NULL;616756,919;918404,873;1;NULL;NULL;S;840416756;S;N;NULL
RE354508;354508;GATTA - S. BARTOLOMEO;NULL;617100,34;917714,858;1;NULL;NULL;S;771417100;S;N;NULL
RE354509;354509;CARNIANA;NULL;616830,375;916267,188;1;NULL;NULL;S;626716830;S;N;NULL
RE354510;354510;MERUZZO;NULL;616584,026;915820,74;5;NULL;NULL;S;582016584;S;N;NULL
RE354511;354511;MERUZZO - INC. RAZZOLO;NULL;616156,125;915055,312;1;NULL;NULL;S;505516156;S;N;NULL
RE354512;354512;MERUZZO - CASA PIOPPA;NULL;616095,688;914754,25;1;NULL;NULL;S;475416095;S;N;NULL
RE354514;354514;VILLA MINOZZO - INC. VIA FONTANA ERIO;NULL;616959,375;913274,812;1;NULL;NULL;S;327416959;S;N;NULL
RE354515;354515;CASE ZOBBI;NULL;616640,188;912845,312;1;NULL;NULL;S;284516640;S;N;NULL
RE354516;354516;CALIZZO;NULL;615861,395;911004,687;1;NULL;NULL;S;100415861;S;N;NULL
